Appellation,Robert,Robinson,Suckling,Prix
Haut-Médoc,92,16,95,30.00
Saint-Estèphe,92,16,96,46.00
Pessac-Léognan,93,16.5,94,55.83
Margaux,92,16,96,79.00
Pessac-Léognan,91.0,None,93,28.08
Pessac-Léognan,90,16.5,94,33.00
Haut-Médoc,92,16.5,93,60.00
Moulis,92,15.5,93,38.00
Haut-Médoc,None,None,None,13.92
Haut-Médoc,92,16,94.5,63.00
Pessac-Léognan,93,16.5,93,43.00
Haut-Médoc,89,16,92,23.00
Pauillac,97,18,98,283.00
Haut-Médoc,88.0,15.5,None,19.08
Haut-Médoc,89.0,15,92,24.58
Pessac-Léognan,88,15.5,93,24.50
Pessac-Léognan,93,16.5,93,37.50
Pomerol,87,None,None,40.75
Pessac-Léognan,96,15.5,97,105.00
Pessac-Léognan,90,16,93,46.67
Listrac,90,16,91,17.50
Margaux,92,16,93,59.00
Saint-Estèphe,90,16.5,92,30.00
Pessac-Léognan,89,15.5,92,34.00
Saint-Estèphe,93,17,96,54.08
Pessac-Léognan,None,16,91,28.75
Moulis,89,16.5,90,26.00
Haut-Médoc,86.0,17,95,38.92
Saint-Emilion,95,15,96,99.00
Pessac-Léognan,90,16.5,93,30.33
Pomerol,88,16,96,85.00
Pessac-Léognan,89,16.5,95,36.00
Pessac-Léognan,92,16,92,43.50
Pessac-Léognan,97,16.5,97,102.00
Saint-Julien,93,16.5,96,54.92
Haut-Médoc,None,None,None,13.00
Haut-Médoc,None,None,90,14.75
Haut-Médoc,90.0,16,None,21.25
Margaux,93,16,95,50.00
Haut-Médoc,93.0,16,94,51.67
Pomerol,94,16.5,95,89.50
Saint-Estèphe,91.0,None,91.5,25.00
Haut-Médoc,89,14.5,None,17.25
Saint-Estèphe,93.0,17,94,57.00
Haut-Médoc,86,16,92,32.00
Margaux,96,16.5,96,134.00
Pauillac,90,15.5,95,41.00
Pauillac,96,17,96,93.00
Saint-Estèphe,90,16,94,50.83
Pessac-Léognan,94,16,97,84.00
Saint-Julien,93,16.5,95,78.00
Margaux,88,16.5,93,63.42
Saint-Emilion,85.0,16.5,94,36.42
Pauillac,90.0,None,None,37.42
Saint-Julien,None,15.5,92,28.50
Sauternes,None,16,None,29.50
Pauillac,96,17.5,97,170.00
Margaux,91,16,94,41.00
Saint-Estèphe,92,16.5,94,51.67
Pomerol,90,16,95,49.00
Saint-Estèphe,98,17.5,98,229.00
Pauillac,89,15.5,92,55.00
Haut-Médoc,89,15,92,29.00
Haut-Médoc,84,15.5,89.5,19.00
Sauternes,90.0,None,90.5,26.00
Pomerol,92.0,15.5,93,36.00
Saint-Estèphe,97,17.5,99,240.00
Haut-Médoc,91,14.5,92,33.50
Pauillac,87,15,None,30.50
Saint-Emilion,96,18,98,115.00
Saint-Emilion,97,17.5,97,185.00
Saint-Emilion,93,15.5,97,92.00
Saint-Estèphe,90,17,93.5,39.00
Saint-Emilion,90,16.5,93,33.92
Margaux,95,17.5,97,72.00
Pessac-Léognan,92.0,16,91,27.58
Pessac-Léognan,92,16.5,96,53.00
Saint-Julien,95,17.5,94,62.00
Moulis,89,16,90,37.42
Pauillac,93.0,16,93,55.00
Pessac-Léognan,96,17,98,155.00
Margaux,87,None,93,25.92
Saint-Estèphe,90,16,92,26.30
Pessac-Léognan,92,16.5,94,55.00
Margaux,89.0,15,92.5,27.00
Margaux,91,16,94,57.00
Pessac-Léognan,92,16,92,40.00
Saint-Emilion,91,16.5,93,48.00
Lalande de Pomerol,90.0,16.5,93,32.00
Saint-Estèphe,None,15.5,91,23.00
Pauillac,89,16,None,33.50
Haut-Médoc,86,None,92,20.00
Margaux,87.0,15.5,91,75.00
Saint-Julien,91,16.5,94,53.00
Pessac-Léognan,95,17.5,99,99.00
Sauternes,98,17.5,None,447.00
Sauternes,87,18,None,47.00
Pauillac,None,None,91.5,35.00
Lalande de Pomerol,87.0,None,91,20.00
Pauillac,89.0,16.5,None,35.00
Saint-Emilion,97,17,97,330.00
Margaux,93,16,95,84.00
Sauternes,95,16.5,97,63.00
Saint-Emilion,93,15.5,91,46.83
Pessac-Léognan,91,16,94,42.00
Margaux,90,16,93,43.00
Saint-Emilion,98,16.5,96,850.00
Pauillac,93.0,17,95,52.00
Pessac-Léognan,91,16,92,44.50
Pomerol,98,16,97,295.00
Graves,89.0,16,90,22.00
Saint-Emilion,95,18.5,96,168.50
Margaux,100,18,100,975.00
Saint-Emilion,90,16,93,39.00
Saint-Julien,92,16,94,60.00
Bordeaux Blancs Secs,89,16,93,14.00
Haut-Médoc,None,None,None,20.83
Haut-Médoc,88,16.5,92,25.00
Pomerol,93,15.5,96,96.67
Pomerol,87.0,15,94,37.50
Saint-Emilion,91,16-,94,39.00
Margaux,90,16.5,95,54.00
Margaux,91,17,94,46.00
Pauillac,93,16.5,99,149.00
Lalande de Pomerol,90.0,16,93,29.00
Pessac-Léognan,90,16,93,48.00
Pauillac,93,15,95,61.00
Pomerol,93,14,94,83.00
Saint-Estèphe,90,15,92,35.00
Pauillac,93,17.5,94,299.00
Saint-Estèphe,86,16.5,88,30.00
Saint-Estèphe,97,18.5,97,280.00
Moulis,89,14,92,42.08
Saint-Emilion,89,16,91,49.00
Pomerol,90.0,16.5,92,47.83
Saint-Emilion,93,15.5,93,69.00
Pauillac,94,16.5,95,115.50
Lalande de Pomerol,92,16.5,93,40.83
Saint-Julien,95,16.5,98,310.00
Pessac-Léognan,90,17,92,33.83
Pauillac,94,17,96,49.00
Haut-Médoc,87,17,93,64.50
Margaux,92.0,16.5,96,46.00
Barsac,95,17,94,47.00
Lalande de Pomerol,90.0,16,93,30.00
Moulis,92,16,92,44.17
Pomerol,91,16,94,34.00
Pessac-Léognan,96,17.5,99,179.00
Saint-Estèphe,91.0,None,91,24.42
Barsac,94,16,91,79.00
Saint-Julien,97,18,99,389.00
Haut-Médoc,None,None,90,14.00
Pessac-Léognan,88.0,None,95,31.50
Pauillac,90,15,91.5,40.67
Saint-Julien,95,15.5,93,58.00
Pessac-Léognan,95,18,98,275.00
Haut-Médoc,None,None,None,146.00
Saint-Julien,94,16.5,96,58.00
Haut-Médoc,91,15.5,93,42.00
Saint-Julien,91,17,94,41.00
Saint-Emilion,96,14.5,98,180.00
Saint-Estèphe,99,16,98,368.00
Saint-Julien,92,16.5,94,47.00
Saint-Emilion,92,15.5,95,46.00
Saint-Emilion,87,16,94,43.00
Margaux,92,15.5,95,109.00
Saint-Emilion,96,16,98,149.00
Saint-Julien,94,18,97,113.00
Pessac-Léognan,96,16,97,199.00
Haut-Médoc,90,15.5,96,105.00
Francs Côtes de Bordeaux,88.0,16,94,25.50
Margaux,94.0,15.5,93,69.00
Saint-Julien,98,16,99,366.00
Haut-Médoc,88,None,91,20.00
Pomerol,91.0,None,93,43.25
Pomerol,88,None,91,42.92
Haut-Médoc,85,15,93,32.00
Moulis,93,16.5,94,33.00
Haut-Médoc,89,None,None,11.00
Margaux,91.0,16.5,95,38.00
Haut-Médoc,93,17,95,52.00
Saint-Julien,94,17,96,88.42
Saint-Julien,91,16.5,92,82.00
Pauillac,92.0,16.5,94,49.00
Graves,None,15.5,90.5,16.00
Saint-Julien,93,17.5,96,71.00
Saint-Estèphe,90.0,17,95,40.00
Sauternes,100,18,98,625.00
Haut-Médoc,92,16.5,92.5,34.00
Pessac-Léognan,92.0,16,92,35.33
Pauillac,89,17,96,42.00
Listrac,83.5,16,90,16.00
Haut-Médoc,92,16,94,39.00
Pessac-Léognan,91,None,91.5,31.00
Saint-Estèphe,None,15.5,92,23.50
Saint-Estèphe,92,15.5,96,52.00
Moulis,91,16,93,32.00
Saint-Emilion,91,16.5,94,33.00
Margaux,95,16.5,96,70.00
Saint-Estèphe,89,16.5,93,54.58
Pessac-Léognan,87.5,16.5,93,28.00
Pomerol,89,None,91,32.00
Saint-Emilion,92,15.5,95,65.00
Saint-Emilion,89.0,16.5,94,42.92
Saint-Estèphe,94,None,96,49.00
Margaux,90,16.5,93,38.00
Pauillac,90,16,93,48.00
Saint-Emilion,93.0,16,94,61.00
Saint-Julien,90.0,16.5,None,25.50
Sauternes,94,17,98,365.00
Moulis,89,16.5,92,28.00
Listrac,85,16,88.5,14.00
Margaux,87,16,92,31.00
Saint-Julien,90.5,None,93,27.00
Bordeaux,88.0,None,89,10.92
Saint-Emilion,92,16.5,94,81.67
Saint-Emilion,None,16,94,36.00
Saint-Estèphe,91,16,94,41.92
Pomerol,87,17,91,59.00
Pauillac,88.0,16,94,40.00
Margaux,91.0,16,94,55.00
Haut-Médoc,88.0,None,None,12.17
Saint-Emilion,None,16,93,28.00
Saint-Emilion,89.5,None,93,29.00
Pomerol,90.0,16.5,None,40.50
Moulis,87,15.5,91.5,28.50
Margaux,88,None,None,24.00
Margaux,94,16,95,93.50
Margaux,None,None,91,32.50
Pomerol,91,16,93,40.00
Pomerol,92,16,96,92.00
Lalande de Pomerol,90,16,90,25.00
Moulis,88,16,None,25.00
Pomerol,88,16.5,90,34.00
Graves,89.0,15.5,91,18.00
Montagne-Saint-Emilion,88.0,15,91,14.00
Saint-Emilion,92.0,None,93,37.00
Pomerol,90.0,None,92,42.00
Pessac-Léognan,91.0,17,94,42.00
Saint-Estèphe,92,18,93,36.00
Pessac-Léognan,90,16.5,94,36.42
Saint-Emilion,93,16.5,95,68.00
Margaux,90,16.5,92,36.00
Margaux,91,16.5,92.5,33.33
Margaux,92,15,94,60.00
Pomerol,90.0,None,93.5,33.50
Saint-Emilion,89.0,16.5,94,42.00
Pessac-Léognan,90,16,93,31.00
Pomerol,89.0,None,91,41.00
Pomerol,93,17.5,96,105.00
Haut-Médoc,85,16,93,36.00
Moulis,90,15.5,92,34.92
Moulis,86,16,93,35.00
Margaux,89.0,16,96,58.25
Saint-Emilion,88.0,16.5,91,31.00
Pessac-Léognan,92,16.5,94,37.00
Castillon Côtes de Bordeaux,88,15,89.5,28.50
Pessac-Léognan,91.0,15.5,92,25.00
Saint-Estèphe,91,17,92,34.50
Saint-Estèphe,89,16,91,19.00
Pauillac,92,16.5,98,140.00
Haut-Médoc,94,17,95,47.83
