,Appellation,Robert,Robinson,Suckling,Prix
0,Haut-Médoc,92.0,16,95.0,30.00
1,Saint-Estèphe,92.0,16,96.0,46.00
2,Pessac-Léognan,93.0,16.5,94.0,55.83
3,Margaux,92.0,16,96.0,79.00
4,Pessac-Léognan,91.0,,93.0,28.08
5,Pessac-Léognan,90.0,16.5,94.0,33.00
6,Haut-Médoc,92.0,16.5,93.0,60.00
7,Moulis,92.0,15.5,93.0,38.00
8,Haut-Médoc,,,,13.92
9,Haut-Médoc,92.0,16,94.5,63.00
10,Pessac-Léognan,93.0,16.5,93.0,43.00
11,Haut-Médoc,89.0,16,92.0,23.00
12,Pauillac,97.0,18,98.0,283.00
13,Haut-Médoc,88.0,15.5,,19.08
14,Haut-Médoc,89.0,15,92.0,24.58
15,Pessac-Léognan,88.0,15.5,93.0,24.50
16,Pessac-Léognan,93.0,16.5,93.0,37.50
17,Pomerol,87.0,,,40.75
18,Pessac-Léognan,96.0,15.5,97.0,105.00
19,Pessac-Léognan,90.0,16,93.0,46.67
20,Listrac,90.0,16,91.0,17.50
21,Margaux,92.0,16,93.0,59.00
22,Saint-Estèphe,90.0,16.5,92.0,30.00
23,Pessac-Léognan,89.0,15.5,92.0,34.00
24,Saint-Estèphe,93.0,17,96.0,54.08
25,Pessac-Léognan,,16,91.0,28.75
26,Moulis,89.0,16.5,90.0,26.00
27,Haut-Médoc,86.0,17,95.0,38.92
28,Saint-Emilion,95.0,15,96.0,99.00
29,Pessac-Léognan,90.0,16.5,93.0,30.33
30,Pomerol,88.0,16,96.0,85.00
31,Pessac-Léognan,89.0,16.5,95.0,36.00
32,Pessac-Léognan,92.0,16,92.0,43.50
33,Pessac-Léognan,97.0,16.5,97.0,102.00
34,Saint-Julien,93.0,16.5,96.0,54.92
35,Haut-Médoc,,,,13.00
36,Haut-Médoc,,,90.0,14.75
37,Haut-Médoc,90.0,16,,21.25
38,Margaux,93.0,16,95.0,50.00
39,Haut-Médoc,93.0,16,94.0,51.67
40,Pomerol,94.0,16.5,95.0,89.50
41,Saint-Estèphe,91.0,,91.5,25.00
42,Haut-Médoc,89.0,14.5,,17.25
43,Saint-Estèphe,93.0,17,94.0,57.00
44,Haut-Médoc,86.0,16,92.0,32.00
45,Margaux,96.0,16.5,96.0,134.00
46,Pauillac,90.0,15.5,95.0,41.00
47,Pauillac,96.0,17,96.0,93.00
48,Saint-Estèphe,90.0,16,94.0,50.83
49,Pessac-Léognan,94.0,16,97.0,84.00
50,Saint-Julien,93.0,16.5,95.0,78.00
51,Margaux,88.0,16.5,93.0,63.42
52,Saint-Emilion,85.0,16.5,94.0,36.42
53,Pauillac,90.0,,,37.42
54,Saint-Julien,,15.5,92.0,28.50
55,Sauternes,,16,,29.50
56,Pauillac,96.0,17.5,97.0,170.00
57,Margaux,91.0,16,94.0,41.00
58,Saint-Estèphe,92.0,16.5,94.0,51.67
59,Pomerol,90.0,16,95.0,49.00
60,Saint-Estèphe,98.0,17.5,98.0,229.00
61,Pauillac,89.0,15.5,92.0,55.00
62,Haut-Médoc,89.0,15,92.0,29.00
63,Haut-Médoc,84.0,15.5,89.5,19.00
64,Sauternes,90.0,,90.5,26.00
65,Pomerol,92.0,15.5,93.0,36.00
66,Saint-Estèphe,97.0,17.5,99.0,240.00
67,Haut-Médoc,91.0,14.5,92.0,33.50
68,Pauillac,87.0,15,,30.50
69,Saint-Emilion,96.0,18,98.0,115.00
70,Saint-Emilion,97.0,17.5,97.0,185.00
71,Saint-Emilion,93.0,15.5,97.0,92.00
72,Saint-Estèphe,90.0,17,93.5,39.00
73,Saint-Emilion,90.0,16.5,93.0,33.92
74,Margaux,95.0,17.5,97.0,72.00
75,Pessac-Léognan,92.0,16,91.0,27.58
76,Pessac-Léognan,92.0,16.5,96.0,53.00
77,Saint-Julien,95.0,17.5,94.0,62.00
78,Moulis,89.0,16,90.0,37.42
79,Pauillac,93.0,16,93.0,55.00
80,Pessac-Léognan,96.0,17,98.0,155.00
81,Margaux,87.0,,93.0,25.92
82,Saint-Estèphe,90.0,16,92.0,26.30
83,Pessac-Léognan,92.0,16.5,94.0,55.00
84,Margaux,89.0,15,92.5,27.00
85,Margaux,91.0,16,94.0,57.00
86,Pessac-Léognan,92.0,16,92.0,40.00
87,Saint-Emilion,91.0,16.5,93.0,48.00
88,Lalande de Pomerol,90.0,16.5,93.0,32.00
89,Saint-Estèphe,,15.5,91.0,23.00
90,Pauillac,89.0,16,,33.50
91,Haut-Médoc,86.0,,92.0,20.00
92,Margaux,87.0,15.5,91.0,75.00
93,Saint-Julien,91.0,16.5,94.0,53.00
94,Pessac-Léognan,95.0,17.5,99.0,99.00
95,Sauternes,98.0,17.5,,447.00
96,Sauternes,87.0,18,,47.00
97,Pauillac,,,91.5,35.00
98,Lalande de Pomerol,87.0,,91.0,20.00
99,Pauillac,89.0,16.5,,35.00
100,Saint-Emilion,97.0,17,97.0,330.00
101,Margaux,93.0,16,95.0,84.00
102,Sauternes,95.0,16.5,97.0,63.00
103,Saint-Emilion,93.0,15.5,91.0,46.83
104,Pessac-Léognan,91.0,16,94.0,42.00
105,Margaux,90.0,16,93.0,43.00
106,Saint-Emilion,98.0,16.5,96.0,850.00
107,Pauillac,93.0,17,95.0,52.00
108,Pessac-Léognan,91.0,16,92.0,44.50
109,Pomerol,98.0,16,97.0,295.00
110,Graves,89.0,16,90.0,22.00
111,Saint-Emilion,95.0,18.5,96.0,168.50
112,Margaux,100.0,18,100.0,975.00
113,Saint-Emilion,90.0,16,93.0,39.00
114,Saint-Julien,92.0,16,94.0,60.00
115,Bordeaux Blancs Secs,89.0,16,93.0,14.00
116,Haut-Médoc,,,,20.83
117,Haut-Médoc,88.0,16.5,92.0,25.00
118,Pomerol,93.0,15.5,96.0,96.67
119,Pomerol,87.0,15,94.0,37.50
120,Saint-Emilion,91.0,16-,94.0,39.00
121,Margaux,90.0,16.5,95.0,54.00
122,Margaux,91.0,17,94.0,46.00
123,Pauillac,93.0,16.5,99.0,149.00
124,Lalande de Pomerol,90.0,16,93.0,29.00
125,Pessac-Léognan,90.0,16,93.0,48.00
126,Pauillac,93.0,15,95.0,61.00
127,Pomerol,93.0,14,94.0,83.00
128,Saint-Estèphe,90.0,15,92.0,35.00
129,Pauillac,93.0,17.5,94.0,299.00
130,Saint-Estèphe,86.0,16.5,88.0,30.00
131,Saint-Estèphe,97.0,18.5,97.0,280.00
132,Moulis,89.0,14,92.0,42.08
133,Saint-Emilion,89.0,16,91.0,49.00
134,Pomerol,90.0,16.5,92.0,47.83
135,Saint-Emilion,93.0,15.5,93.0,69.00
136,Pauillac,94.0,16.5,95.0,115.50
137,Lalande de Pomerol,92.0,16.5,93.0,40.83
138,Saint-Julien,95.0,16.5,98.0,310.00
139,Pessac-Léognan,90.0,17,92.0,33.83
140,Pauillac,94.0,17,96.0,49.00
141,Haut-Médoc,87.0,17,93.0,64.50
142,Margaux,92.0,16.5,96.0,46.00
143,Barsac,95.0,17,94.0,47.00
144,Lalande de Pomerol,90.0,16,93.0,30.00
145,Moulis,92.0,16,92.0,44.17
146,Pomerol,91.0,16,94.0,34.00
147,Pessac-Léognan,96.0,17.5,99.0,179.00
148,Saint-Estèphe,91.0,,91.0,24.42
149,Barsac,94.0,16,91.0,79.00
150,Saint-Julien,97.0,18,99.0,389.00
151,Haut-Médoc,,,90.0,14.00
